"rank","finalWorth","category","personName","age","country","city","source","industries","countryOfCitizenship","organization","selfMade","status","gender","birthDate","lastName","firstName","title","date","state","residenceStateRegion","birthYear","birthMonth","birthDay","cpi_country","cpi_change_country","gdp_country","gross_tertiary_education_enrollment","gross_primary_education_enrollment_country","life_expectancy_country","tax_revenue_country_country","total_tax_rate_country","population_country","latitude_country","longitude_country"
445,5700,"Logistics","Helmut Sohmen",83,"Hong Kong","Hong Kong","Shipping","Logistics","Austria",NA,FALSE,"U","M","12/10/1939 0:00","Sohmen","Helmut",NA,"4/4/2023 5:01",NA,NA,1939,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2133,1300,"Manufacturing","Li Yongqing",58,"China","Hangzhou","Petro Firbe","Manufacturing","China",NA,TRUE,"D","M","6/30/1964 0:00","Li","Yongqing",NA,"4/4/2023 5:01",NA,NA,1964,6,30,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1368,2200,"Healthcare","Shamsheer Vayalil",46,"United Arab Emirates","Abu Dhabi","Healthcare","Healthcare","India",NA,FALSE,"R","M","1/11/1977 0:00","Vayalil","Shamsheer",NA,"4/4/2023 5:01",NA,NA,1977,1,11,114.52,-1.9,"$421,142,267,938",36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818
721,3900,"Fashion & Retail","Carl Ferdinand Oetker",50,"Germany","Bielefeld","Consumer goods","Fashion & Retail","Germany",NA,FALSE,"U","M","10/3/1972 0:00","Oetker","Carl Ferdinand",NA,"4/4/2023 5:01",NA,NA,1972,10,3,112.85,1.4,"$3,845,630,030,824",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
1575,1900,"Diversified","Zhang Hongwei",68,"China","Beijing","Oil, banking","Diversified","China",NA,TRUE,"D","M","12/26/1954 0:00","Zhang","Hongwei",NA,"4/4/2023 5:01",NA,NA,1954,12,26,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1905,1500,"Diversified","Kim Jun-ki",78,"South Korea","Seoul","Diversified","Diversified","South Korea","Dongbu Insurance Co. Ltd.",TRUE,"U","M","12/4/1944 0:00","Kim","Jun-ki",NA,"4/4/2023 5:01",NA,NA,1944,12,4,115.16,0.4,"$2,029,000,000,000",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922
1647,1800,"Healthcare","Jin Lei & family",68,"China","Beijing","Medical equipment","Healthcare","China",NA,TRUE,"U","M","9/23/1954 0:00","Jin","Lei",NA,"4/4/2023 5:01",NA,NA,1954,9,23,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1575,1900,"Manufacturing","Ren Jianhua",66,"China","Hangzhou","Kitchen appliances","Manufacturing","China",NA,TRUE,"D","M","8/1/1956 0:00","Ren","Jianhua",NA,"4/4/2023 5:01",NA,NA,1956,8,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
2133,1300,"Energy","Timothy Dunn & family",67,"United States","Midland","Energy","Energy","United States",NA,TRUE,"N","M","12/18/1955 0:00","Dunn","Timothy",NA,"4/4/2023 5:01","Texas","South",1955,12,18,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2259,1200,"Service","Darwin Deason",82,"United States","Dallas","Software","Service","United States",NA,TRUE,"D","M","5/14/1940 0:00","Deason","Darwin",NA,"4/4/2023 5:01","Texas","South",1940,5,14,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2133,1300,"Healthcare","Pongsak Viddayakorn",89,"Thailand","Bangkok","Hospitals","Healthcare","Thailand",NA,TRUE,"U","M","3/23/1934 0:00","Viddayakorn","Pongsak",NA,"4/4/2023 5:01",NA,NA,1934,3,23,113.27,0.7,"$543,649,976,166",49.3,99.8,76.9,14.9,29.5,69625582,15.870032,100.992541
1905,1500,"Fashion & Retail","Esther Grether",87,"Switzerland","Basel","Art collection","Fashion & Retail","Switzerland",NA,FALSE,"E","F","1/1/1936 0:00","Grether","Esther",NA,"4/4/2023 5:01",NA,NA,1936,1,1,99.55,0.4,"$703,082,435,360",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
2259,1200,"Manufacturing","Ashwin Desai",71,"India","Surat","Specialty chemicals","Manufacturing","India",NA,TRUE,"N","M","9/18/1951 0:00","Desai","Ashwin",NA,"4/4/2023 5:01",NA,NA,1951,9,18,180.44,7.7,"$2,611,000,000,000",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
1434,2100,"Food & Beverage","Travis Boersma",52,"United States","Grants Pass","Coffee","Food & Beverage","United States",NA,TRUE,"D","M","1/1/1971 0:00","Boersma","Travis",NA,"4/4/2023 5:01","Oregon","West",1971,1,1,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
60,24400,"Technology","MacKenzie Scott",52,"United States","Seattle","Amazon","Technology","United States",NA,FALSE,"D","F","4/7/1970 0:00","Scott","MacKenzie","Philanthropist","4/4/2023 5:01","Washington","West",1970,4,7,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1804,1600,"Manufacturing","Xiang Guangming & family",59,"China","Wenzhou","Waste disposal","Manufacturing","China",NA,TRUE,"D","M","10/1/1963 0:00","Xiang","Guangming",NA,"4/4/2023 5:01",NA,NA,1963,10,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
2259,1200,"Healthcare","Vadim Yakunin",60,"Russia","Moscow","Pharmacy","Healthcare","Russia",NA,TRUE,"R","M","1/5/1963 0:00","Yakunin","Vadim",NA,"4/4/2023 5:01",NA,NA,1963,1,5,180.75,4.5,"$1,699,876,578,871",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
276,7800,"Manufacturing","Yao Liangsong",58,"China","Guangzhou","Furniture","Manufacturing","China",NA,TRUE,"D","M","8/1/1964 0:00","Yao","Liangsong",NA,"4/4/2023 5:01",NA,NA,1964,8,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
466,5500,"Manufacturing","Mitchell Rales",66,"United States","Potomac","Manufacturing, investments","Manufacturing","United States",NA,TRUE,"D","M","8/21/1956 0:00","Rales","Mitchell",NA,"4/4/2023 5:01","Maryland","South",1956,8,21,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2540,1000,"Service","Clelia Haji-Ioannou",52,"Monaco","Monte Carlo","EasyJet","Service","Cyprus",NA,FALSE,"R","F","1/1/1971 0:00","Haji-Ioannou","Clelia",NA,"4/4/2023 5:01",NA,NA,1971,1,1,NA,NA,"$7,184,844,193",NA,NA,NA,NA,NA,38964,43.7384176,7.4246158
365,6700,"Real Estate","Edward Roski, Jr.",84,"United States","Los Angeles","Real estate","Real Estate","United States","Majestic Realty, Co.",FALSE,"U","M","12/25/1938 0:00","Roski","Edward","President and Chairman","4/4/2023 5:01","California","West",1938,12,25,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2405,1100,"Manufacturing","Daniel Feffer",63,"Brazil","São Paulo","Pulp and paper","Manufacturing","Brazil",NA,FALSE,"D","M","10/28/1959 0:00","Feffer","Daniel",NA,"4/4/2023 5:01",NA,NA,1959,10,28,167.4,3.7,"$1,839,758,040,766",51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528
1368,2200,"Diversified","Sezai Bacaksiz",73,"Turkey","Ankara","Diversified","Diversified","Turkey",NA,TRUE,"U","M","7/27/1949 0:00","Bacaksiz","Sezai",NA,"4/4/2023 5:01",NA,NA,1949,7,27,234.44,15.2,"$754,411,708,203",23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322
455,5600,"Logistics","Maria Angelicoussis",41,"Greece",NA,"Shipping","Logistics","Greece",NA,FALSE,"N","F","2/18/1982 0:00","Angelicoussis","Maria",NA,"4/4/2023 5:01",NA,NA,1982,2,18,101.87,0.2,"$209,852,761,469",136.6,99.6,81.3,26.2,51.9,10716322,39.074208,21.824312
2020,1400,"Energy","Radik Shaimiev",58,"Russia","Kazan","Refinery, chemicals","Energy","Russia",NA,TRUE,"U","M","11/14/1964 0:00","Shaimiev","Radik",NA,"4/4/2023 5:01",NA,NA,1964,11,14,180.75,4.5,"$1,699,876,578,871",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
49,28100,"Finance & Investments","Jim Simons",84,"United States","East Setauket","Hedge funds","Finance & Investments","United States","Renaissance Technologies Corp.",TRUE,"D","M","4/25/1938 0:00","Simons","Jim","Founder","4/4/2023 5:01","New York","Northeast",1938,4,25,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
534,5000,"Healthcare","Ugur Sahin",57,"Germany","Mainz","Biotechnology","Healthcare","Germany",NA,TRUE,"D","M","9/19/1965 0:00","Sahin","Ugur",NA,"4/4/2023 5:01",NA,NA,1965,9,19,112.85,1.4,"$3,845,630,030,824",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
195,9600,"Energy","Jin Baofang",70,"China","Xingtai","Solar panels","Energy","China",NA,TRUE,"D","M","9/1/1952 0:00","Jin","Baofang",NA,"4/4/2023 5:01",NA,NA,1952,9,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
2540,1000,"Manufacturing","Kochouseph Chittilappilly",72,"India","Kochi","Electrical appliances","Manufacturing","India",NA,TRUE,"R","M","12/27/1950 0:00","Chittilappilly","Kochouseph",NA,"4/4/2023 5:01",NA,NA,1950,12,27,180.44,7.7,"$2,611,000,000,000",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
1067,2800,"Diversified","Maren Otto",NA,"Germany","Berlin","Retail, real estate","Diversified","Germany",NA,FALSE,"D","F",NA,"Otto","Maren",NA,"4/4/2023 5:01",NA,NA,NA,NA,NA,112.85,1.4,"$3,845,630,030,824",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
1368,2200,"Automotive","Willis Johnson",75,"United States","Franklin","Damaged cars","Automotive","United States",NA,TRUE,"U","M","5/26/1947 0:00","Johnson","Willis",NA,"4/4/2023 5:01","Tennessee","South",1947,5,26,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
852,3400,"Healthcare","Wu Guanjiang & family",54,"China","Chongqing","Pharmaceuticals","Healthcare","China",NA,TRUE,"D","M","12/21/1968 0:00","Wu","Guanjiang",NA,"4/4/2023 5:01",NA,NA,1968,12,21,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
2259,1200,"Fashion & Retail","Yang Yunyun",46,"China","Guangzhou","Retail","Fashion & Retail","China",NA,TRUE,"R","F","1/1/1977 0:00","Yang","Yunyun",NA,"4/4/2023 5:01",NA,NA,1977,1,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1104,2700,"Sports","Frank Fertitta, III.",61,"United States","Las Vegas","Casinos, mixed martial arts","Sports","United States",NA,FALSE,"U","M","2/24/1962 0:00","Fertitta","Frank",NA,"4/4/2023 5:01","Nevada","West",1962,2,24,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2540,1000,"Sports","Ken Kendrick",79,"United States","Paradise Valley","Banking, sports team","Sports","United States",NA,TRUE,"E","M","9/2/1943 0:00","Kendrick","Ken",NA,"4/4/2023 5:01","Arizona","West",1943,9,2,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
591,4600,"Media & Entertainment","Charles Dolan & family",96,"United States","Oyster Bay","Cable television","Media & Entertainment","United States","Cablevision Systems Corp.",TRUE,"D","M","10/16/1926 0:00","Dolan","Charles","Chairman and Founder","4/4/2023 5:01","New York","Northeast",1926,10,16,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
679,4100,"Service","Danielle Bellon & family",83,"France","Paris","Food services","Service","France",NA,FALSE,"U","F","2/8/1940 0:00","Bellon","Danielle",NA,"4/4/2023 5:01",NA,NA,1940,2,8,110.05,1.1,"$2,715,518,274,227",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
2133,1300,"Healthcare","Satish Reddy",55,"India","Hyderabad","Pharmaceuticals","Healthcare","India",NA,FALSE,"E","M","6/9/1967 0:00","Reddy","Satish",NA,"4/4/2023 5:01",NA,NA,1967,6,9,180.44,7.7,"$2,611,000,000,000",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
2259,1200,"Manufacturing","Zhen Li & family",59,"China","Hefei","Lithium batteries","Manufacturing","China",NA,TRUE,"D","M","1/23/1964 0:00","Li","Zhen",NA,"4/4/2023 5:01",NA,NA,1964,1,23,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
982,3000,"Diversified","Semahat Sevim Arsel",94,"Turkey","Istanbul","Diversified","Diversified","Turkey",NA,FALSE,"U","F","9/8/1928 0:00","Arsel","Semahat Sevim",NA,"4/4/2023 5:01",NA,NA,1928,9,8,234.44,15.2,"$754,411,708,203",23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322
1804,1600,"Technology","Liang Qin & family",51,"China","Yangzhou","Semiconductor devices","Technology","China",NA,TRUE,"D","F","10/26/1971 0:00","Liang","Qin",NA,"4/4/2023 5:01",NA,NA,1971,10,26,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1575,1900,"Manufacturing","Qinxiang Shao",68,"China","Hangzhou","Diversified","Manufacturing","China",NA,TRUE,"U","M","9/1/1954 0:00","Shao","Qinxiang",NA,"4/4/2023 5:01",NA,NA,1954,9,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1368,2200,"Healthcare","Lutz Mario Helmig & family",76,"Germany","Grebenhain","Hospitals","Healthcare","Germany",NA,TRUE,"U","M","8/29/1946 0:00","Helmig","Lutz Mario",NA,"4/4/2023 5:01",NA,NA,1946,8,29,112.85,1.4,"$3,845,630,030,824",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
466,5500,"Technology","Patrick Collison",34,"United States","San Francisco","Payment software","Technology","Ireland","Stripe",TRUE,"D","M","9/9/1988 0:00","Collison","Patrick","Cofounder","4/4/2023 5:01","California","West",1988,9,9,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2133,1300,"Service","Peng Zhao",52,"China","Beijing","Online recruitment","Service","China",NA,TRUE,"E","M","1/1/1971 0:00","Zhao","Peng",NA,"4/4/2023 5:01",NA,NA,1971,1,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
766,3700,"Real Estate","Ji Qi",56,"China","Shanghai","Hotels, motels","Real Estate","China",NA,TRUE,"U","M","10/1/1966 0:00","Ji","Qi",NA,"4/4/2023 5:01",NA,NA,1966,10,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1516,2000,"Real Estate","Amy Goldman Fowler",68,"United States","Rhinebeck","Real estate","Real Estate","United States",NA,FALSE,"D","F","4/19/1954 0:00","Goldman Fowler","Amy",NA,"4/4/2023 5:01","New York","Northeast",1954,4,19,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2020,1400,"Manufacturing","Xu Guozhong & family",59,"China","Changzhou","Motors","Manufacturing","China",NA,TRUE,"D","M","9/1/1963 0:00","Xu","Guozhong",NA,"4/4/2023 5:01",NA,NA,1963,9,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1804,1600,"Finance & Investments","Sue Gross",73,"United States","Laguna Beach","Investments","Finance & Investments","United States",NA,FALSE,"E","F","2/17/1950 0:00","Gross","Sue",NA,"4/4/2023 5:01","California","West",1950,2,17,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
699,4000,"Food & Beverage","Elisabeth DeLuca & family",75,"United States",NA,"Subway","Food & Beverage","United States",NA,FALSE,"N","F","7/25/1947 0:00","DeLuca","Elisabeth",NA,"4/4/2023 5:01",NA,"South",1947,7,25,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2405,1100,"Construction & Engineering","Lee Joong-keun",82,"South Korea","Seoul","Construction, real estate","Construction & Engineering","South Korea","Booyoung Group",TRUE,"D","M","1/11/1941 0:00","Lee","Joong-keun",NA,"4/4/2023 5:01",NA,NA,1941,1,11,115.16,0.4,"$2,029,000,000,000",94.3,98.1,82.6,15.6,33.2,51709098,35.907757,127.766922
878,3300,"Manufacturing","Todd Wanek",59,"United States","St. Petersburg","Furniture","Manufacturing","United States",NA,FALSE,"D","M","3/16/1964 0:00","Wanek","Todd",NA,"4/4/2023 5:01","Florida","South",1964,3,16,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1067,2800,"Technology","Nandan Nilekani",67,"India","Bangalore","Software services","Technology","India",NA,TRUE,"D","M","6/2/1955 0:00","Nilekani","Nandan",NA,"4/4/2023 5:01",NA,NA,1955,6,2,180.44,7.7,"$2,611,000,000,000",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
89,18500,"Energy","Gennady Timchenko",70,"Russia","Moscow","Oil, gas","Energy","Russia",NA,TRUE,"U","M","11/9/1952 0:00","Timchenko","Gennady",NA,"4/4/2023 5:01",NA,NA,1952,11,9,180.75,4.5,"$1,699,876,578,871",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
1217,2500,"Energy","Arvind Tiku",53,"Singapore","Singapore","Oil & gas, investments","Energy","India",NA,TRUE,"U","M","2/22/1970 0:00","Tiku","Arvind",NA,"4/4/2023 5:01",NA,NA,1970,2,22,114.41,0.6,"$372,062,527,489",84.8,100.6,83.1,13.1,21,5703569,1.352083,103.819836
1104,2700,"Diversified","Mustafa Rahmi Koc",92,"Turkey","Istanbul","Diversified","Diversified","Turkey",NA,FALSE,"U","M","10/9/1930 0:00","Koc","Mustafa Rahmi",NA,"4/4/2023 5:01",NA,NA,1930,10,9,234.44,15.2,"$754,411,708,203",23.9,93.2,77.4,17.9,42.3,83429615,38.963745,35.243322
2405,1100,"Finance & Investments","Rajesh Sharma",53,"India","Mumbai","Finance","Finance & Investments","India",NA,FALSE,"N","M","2/25/1970 0:00","Sharma","Rajesh",NA,"4/4/2023 5:01",NA,NA,1970,2,25,180.44,7.7,"$2,611,000,000,000",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
1164,2600,"Food & Beverage","Joesley Batista",51,"Brazil","Sao Paulo","Beef processing","Food & Beverage","Brazil",NA,FALSE,"D","M","2/5/1972 0:00","Batista","Joesley",NA,"4/4/2023 5:01",NA,NA,1972,2,5,167.4,3.7,"$1,839,758,040,766",51.3,115.4,75.7,14.2,65.1,212559417,-14.235004,-51.92528
2133,1300,"Finance & Investments","Kristo Käärmann",42,"United Kingdom","London","Payments, banking","Finance & Investments","Estonia","Wise",TRUE,"U","M","9/1/1980 0:00","Käärmann","Kristo","Cofounder","4/4/2023 5:01",NA,NA,1980,9,1,119.62,1.7,"$2,827,113,184,696",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
2133,1300,"Service","Junjin Wang",54,"China","Shanghai","Airline","Service","China",NA,TRUE,"D","M","12/1/1968 0:00","Wang","Junjin",NA,"4/4/2023 5:01",NA,NA,1968,12,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
5,106000,"Finance & Investments","Warren Buffett",92,"United States","Omaha","Berkshire Hathaway","Finance & Investments","United States","Berkshire Hathaway Inc. (Cl A)",TRUE,"D","M","8/30/1930 0:00","Buffett","Warren","CEO","4/4/2023 5:01","Nebraska","Midwest",1930,8,30,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1434,2100,"Technology","Raveendran Byju",41,"India","Bangalore","Education technology","Technology","India",NA,TRUE,"D","M","7/6/1981 0:00","Raveendran","Byju",NA,"4/4/2023 5:01",NA,NA,1981,7,6,180.44,7.7,"$2,611,000,000,000",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
2133,1300,"Fashion & Retail","Charlwin Mao",NA,"China","Shanghai","E-commerce","Fashion & Retail","China",NA,TRUE,"D","M",NA,"Mao","Charlwin",NA,"4/4/2023 5:01",NA,NA,NA,NA,NA,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1725,1700,"Technology","Jim Breyer",61,"United States","Austin","Venture capital","Technology","United States","Breyer Capital",TRUE,"D","M","7/26/1961 0:00","Breyer","Jim","Investor","4/4/2023 5:01","Texas","South",1961,7,26,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
949,3100,"Fashion & Retail","Aerin Lauder",52,"United States","New York","Estee Lauder","Fashion & Retail","United States",NA,FALSE,"D","F","4/23/1970 0:00","Lauder","Aerin",NA,"4/4/2023 5:01","New York","Northeast",1970,4,23,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2259,1200,"Manufacturing","Kailashchandra Nuwal",65,NA,NA,"Industrial explosives","Manufacturing","India",NA,FALSE,"N","M","7/6/1957 0:00","Nuwal","Kailashchandra",NA,"4/4/2023 5:01",NA,NA,1957,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2405,1100,"Service","Helena Revoredo",76,"Spain","Madrid","Security services","Service","Spain",NA,FALSE,"D","F","2/10/1947 0:00","Revoredo","Helena",NA,"4/4/2023 5:01",NA,NA,1947,2,10,110.96,0.7,"$1,394,116,310,769",88.9,102.7,83.3,14.2,47,47076781,40.463667,-3.74922
2259,1200,"Finance & Investments","Thomas Sandell",62,"United Kingdom","London","Hedge funds","Finance & Investments","Sweden","Sandell Asset Management",TRUE,"D","M","2/1/1961 0:00","Sandell","Thomas","Founder","4/4/2023 5:01",NA,NA,1961,2,1,119.62,1.7,"$2,827,113,184,696",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
1905,1500,"Metals & Mining","Angela Bennett",79,"Australia","Perth","Mining","Metals & Mining","Australia",NA,FALSE,"U","F","4/1/1944 0:00","Bennett","Angela",NA,"4/4/2023 5:01",NA,NA,1944,4,1,119.8,1.6,"$1,392,680,589,329",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
2540,1000,"Fashion & Retail","Ryuji Arai",76,"Japan","Tokyo","Retail","Fashion & Retail","Japan",NA,TRUE,"D","M","5/28/1946 0:00","Arai","Ryuji",NA,"4/4/2023 5:01",NA,NA,1946,5,28,105.48,0.5,"$5,081,769,542,380",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
486,5400,"Fashion & Retail","Wolfgang Reimann",70,"Germany","Passau","Consumer goods","Fashion & Retail","Germany",NA,FALSE,"D","M","10/4/1952 0:00","Reimann","Wolfgang",NA,"4/4/2023 5:01",NA,NA,1952,10,4,112.85,1.4,"$3,845,630,030,824",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
511,5200,"Food & Beverage","Cheng Xue",53,"China","Foshan","Soy sauce","Food & Beverage","China",NA,TRUE,"D","F","2/26/1970 0:00","Cheng","Xue",NA,"4/4/2023 5:01",NA,NA,1970,2,26,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1272,2400,"Healthcare","Xuande Hua & family",79,"China","Taizhou","Pharmaceuticals","Healthcare","China",NA,TRUE,"D","M","10/30/1943 0:00","Hua","Xuande",NA,"4/4/2023 5:01",NA,NA,1943,10,30,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
852,3400,"Food & Beverage","Acharya Balkrishna",50,"India","Haridwar","Consumer goods","Food & Beverage","India",NA,TRUE,"U","M","7/25/1972 0:00","Balkrishna","Acharya",NA,"4/4/2023 5:01",NA,NA,1972,7,25,180.44,7.7,"$2,611,000,000,000",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
466,5500,"Diversified","James Irving",95,"Canada","Saint John","Diversified","Diversified","Canada",NA,FALSE,"U","M","3/20/1928 0:00","Irving","James",NA,"4/4/2023 5:01",NA,NA,1928,3,20,116.76,1.9,"$1,736,425,629,520",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
223,8800,"Technology","Pierre Omidyar",55,"United States","Honolulu","EBay, PayPal","Technology","United States","eBay",TRUE,"D","M","6/21/1967 0:00","Omidyar","Pierre","Founder","4/4/2023 5:01","Hawaii","West",1967,6,21,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
1804,1600,"Real Estate","Lee Yeow Seng",45,"Malaysia",NA,"Palm oil, property","Real Estate","Malaysia",NA,FALSE,"Split Family Fortune","M","1/1/1978 0:00","Lee","Yeow Seng",NA,"4/4/2023 5:01",NA,NA,1978,1,1,121.46,0.7,"$364,701,517,788",45.1,105.3,76,12,38.7,32447385,4.210484,101.975766
365,6700,"Food & Beverage","Xu Shihui",65,"China","Quanzhou","Snacks, beverages","Food & Beverage","China",NA,TRUE,"D","M","1/1/1958 0:00","Xu","Shihui",NA,"4/4/2023 5:01",NA,NA,1958,1,1,125.08,2.9,"$19,910,000,000,000",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
1312,2300,"Healthcare","Lam Kong",58,"Hong Kong","Hong Kong","Pharmaceuticals","Healthcare","China",NA,TRUE,"D","M","6/15/1964 0:00","Lam","Kong",NA,"4/4/2023 5:01",NA,NA,1964,6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
905,3200,"Finance & Investments","Vincent Viola",67,"United States","New York","Electronic trading","Finance & Investments","United States",NA,TRUE,"D","M","2/12/1956 0:00","Viola","Vincent",NA,"4/4/2023 5:01","New York","Northeast",1956,2,12,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
2259,1200,"Finance & Investments","Thomas von Koch",57,"Hong Kong","Hong Kong","Asset management","Finance & Investments","Sweden",NA,TRUE,"D","M","3/24/1966 0:00","von Koch","Thomas",NA,"4/4/2023 5:01",NA,NA,1966,3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1217,2500,"Fashion & Retail","Ted Alfond",78,"United States","Weston","Shoes","Fashion & Retail","United States",NA,FALSE,"D","M","8/19/1944 0:00","Alfond","Ted",NA,"4/4/2023 5:01","Massachusetts","Northeast",1944,8,19,117.24,7.5,"$21,427,700,000,000",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
